Azimuth_deg,MSE,FinalMaxMin,MaxMin,RadarOnly
-59.3,6.63179314085944,7.55311440055387,NaN,3.96337562300525
-59.2,6.65235824015135,7.54305233218627,NaN,3.96882674061477
-59.1,6.67254503482476,7.53201119006434,NaN,3.97286784650752
-59,6.69232708794353,7.51997367472341,NaN,3.97547032883766
-58.9,6.71167733855407,7.50692379132882,NaN,3.97660643422604
-58.8,6.73056813995785,7.49284693626447,NaN,3.97624933278282
-58.7,6.7489713019049,7.47772998502224,NaN,3.97437318491972
-58.6,6.76685813681155,7.46156138129281,NaN,3.97095320998206
-58.5,6.78419951010053,7.44433122715117,NaN,3.9659657567305
-58.4,6.80096589475608,7.42603137422465,NaN,3.95938837570171
-58.3,6.81712743018014,7.40665551572376,NaN,3.95119989347705
-58.2,6.832653985429,7.38619927921029,NaN,3.94138048888677
-58.1,6.84751522690266,7.36466031997,NaN,3.9299117711767
-58,6.86168069055067,7.34203841485086,NaN,3.91677686016265
-57.9,6.87511985865037,7.31833555642101,NaN,3.90196046839637
-57.8,6.88780224120364,7.29355604729409,NaN,3.88544898536453
-57.7,6.89969746198947,7.26770659446299,NaN,3.86723056374059
-57.6,6.91077534929842,7.24079640347624,NaN,3.84729520770597
-57.5,6.92100603136507,7.21283727228524,NaN,3.82563486335473
-57.4,6.93036003650255,7.18384368458383,NaN,3.80224351119201
-57.3,6.93880839793152,7.15383290245503,NaN,3.77711726073328
-57.2,6.94632276328334,7.12282505813446,NaN,3.75025444720663
-57.1,6.95287550874389,7.09084324469292,NaN,3.72165573035638
-57,6.95843985779097,7.05791360543528,NaN,3.69132419534075
-56.9,6.96299000446377,7.02406542180677,NaN,3.65926545571083
-56.8,6.96650124108817,6.98933119959232,NaN,3.62548775845231
-56.7,6.96895009036647,6.95374675318925,NaN,3.59000209106458
-56.6,6.97031444172377,6.91735128772825,NaN,3.5528222906447
-56.5,6.97057369178768,6.88018747881311,NaN,3.51396515493633
-56.4,6.96970888886054,6.84230154964456,NaN,3.47345055529523
-56.3,6.96770288122654,6.80374334528975,NaN,3.43130155151439
-56.2,6.96454046911818,6.76456640385456,NaN,3.38754450844203
-56.1,6.96020856014895,6.72482802431237,NaN,3.34220921431654
-56,6.95469632800002,6.68458933073975,NaN,3.29532900073076
-55.9,6.94799537413077,6.64391533270651,NaN,3.24694086412785
-55.8,6.94009989226353,6.60287498156502,NaN,3.19708558871841
-55.7,6.93100683537383,6.56154122238178,NaN,3.14580787069656
-55.6,6.9207160848982,6.51999104125248,NaN,3.09315644361929
-55.5,6.90923062185165,6.47830550774078,NaN,3.03918420479994
-55.4,6.89655669952778,6.43656981218026,NaN,2.98394834255234
-55.3,6.88270401743417,6.39487329757916,NaN,2.92751046410722
-55.2,6.86768589609669,6.35330948586745,NaN,2.86993672400693
-55.1,6.85151945234603,6.31197609822742,NaN,2.81129795276868
-55,6.83422577468061,6.27097506925003,NaN,2.75166978558968
-54.9,6.81583009828072,6.23041255466174,NaN,2.6911327908506
-54.8,6.79636197922937,6.19039893236929,NaN,2.62977259815591
-54.7,6.77585546747663,6.15104879657321,NaN,2.56768002563175
-54.6,6.75434927806594,6.11248094470534,NaN,2.50495120618309
-54.5,6.73188696012273,6.07481835694992,NaN,2.44168771239344
-54.4,6.70851706308819,6.03818816811393,NaN,2.37799667973035
-54.3,6.68429329966437,6.00272163161786,NaN,2.31399092770091
-54.2,6.65927470492043,5.96855407538585,NaN,2.24978907858098
-54.1,6.63352579099426,5.935824849421,NaN,2.185515673322
-54,6.60711669680947,5.90467726486072,NaN,2.12130128421892
-53.9,6.58012333221362,5.8752585243159,NaN,2.05728262390211
-53.8,6.55262751593103,5.84771964330763,NaN,1.9936026501959
-53.7,6.52471710671169,5.82221536262604,NaN,1.93041066636588
-53.6,6.49648612704751,5.79890405144733,NaN,1.86786241625684
-53.5,6.46803487881758,5.77794760105739,NaN,1.80612017380319
-53.4,6.43947005021637,5.75951130904343,NaN,1.74535282637378
-53.3,6.41090481331205,5.74376375382909,NaN,1.68573595139393
-53.2,6.38245891157713,5.73087665944299,NaN,1.62745188566808
-53.1,6.35425873673012,5.72102475042634,NaN,1.57068978680878
-53,6.32643739422494,5.71438559680134,NaN,1.51564568615953
-52.9,6.29913475672473,5.71113944903914,NaN,1.46252253258236
-52.8,6.27249750489828,5.71146906298398,NaN,1.41153022646505
-52.7,6.24667915488105,5.71555951470845,NaN,1.36288564328805
-52.6,6.22184007174786,5.72359800529439,NaN,1.31681264607727
-52.5,6.19814746835227,5.73577365555348,NaN,1.27354208605609
-52.4,6.17577538889694,5.75227729072259,NaN,1.23331179079954
-52.3,6.15490467661118,5.77330121519011,NaN,1.19636653918308
-52.2,6.13572292492584,5.79903897733143,NaN,1.1629580224109
-52.1,6.11842441155199,5.8296851245543,NaN,1.13334479040247
-52,6.10321001488827,5.86543494867808,NaN,1.10779218281127
-51.9,6.0902871122031,5.90648422179449,NaN,1.08657224394791
-51.8,6.07986945906077,5.95302892278163,NaN,1.06996362087923
-51.7,6.07217704948681,6.00526495466797,NaN,1.05825144397735
